Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.343,0.505,0.497,0.619,0.668,0.779,1.066,1.146,1.156,1.487,1.469,1.949,1.751,1.031,0.794,1.774,0.595,0.234,0.160,0.457,0.170,1.067,0.584,0.404,0.439,0.670,0.818,1.365,1.970,2.032,3.164,3.311,3.501,3.639,4.145,6.091,6.846,3.608,2.764,3.063,1.984,1.471,0.994,0.981,1.623
Albania,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.039,0.050,0.051,0.046,0.030,0.034,0.043,0.045,0.053,0.059,0.076,0.101,0.110,0.141,0.195,0.256,0.183,0.186,0.197,0.183,0.180,0.178,0.132,0.131,0.144,0.176,0.197,0.197,0.223,0.289
Andorra,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Arab World,0.000,0.000,0.833,0.916,1.225,1.416,1.549,1.684,2.031,2.394,2.980,3.347,3.722,5.149,5.981,6.543,7.665,21.087,23.611,28.041,34.463,39.939,40.382,34.869,36.995,32.978,14.390,29.740,28.873,24.605,36.512,41.035,32.811,29.606,29.413,26.684,26.486,35.484,39.323,36.890,40.741,42.770,40.851,42.622,48.509,54.649,61.282,73.572,86.262,91.504,97.976,107.922,121.984,142.684,155.223,137.950,111.884,119.045,120.450,112.723,110.060,121.464,137.863
United Arab Emirates,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.336,4.010,4.233,5.876,5.798,5.354,5.835,6.817,6.604,7.165,8.461,11.572,13.836,17.505,19.182,19.024,23.561,22.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Argentina,0.000,0.000,0.305,0.242,0.246,0.252,0.279,0.252,0.337,0.443,0.446,0.520,0.766,1.294,1.626,0.798,2.050,2.058,3.104,5.057,6.477,5.883,2.280,2.848,2.528,2.027,2.450,2.486,2.696,1.441,2.051,2.859,3.254,3.369,3.755,3.802,3.379,3.341,3.399,3.462,3.267,3.184,1.114,1.375,1.466,1.700,1.848,2.296,2.789,2.982,3.475,4.052,4.563,5.138,4.979,5.483,4.510,5.460,3.843,3.133,2.831,3.073,2.578
Armenia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.052,0.052,0.064,0.067,0.068,0.068,0.066,0.064,0.077,0.098,0.141,0.188,0.280,0.396,0.359,0.395,0.391,0.381,0.445,0.458,0.447,0.431,0.444,0.513,0.652,0.634,0.619,0.795
American Samoa,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Antigua and Barbuda,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Australia,0.460,0.471,0.489,0.553,0.656,0.787,0.987,1.198,1.322,1.315,1.277,1.332,1.484,1.856,2.127,2.269,2.441,2.500,2.816,3.101,3.658,4.324,4.460,4.512,4.925,4.387,4.607,5.057,5.836,6.300,6.704,7.024,6.882,6.734,7.460,7.666,8.203,7.937,7.108,7.770,7.274,7.043,7.947,9.927,11.995,13.238,14.240,17.186,18.633,18.960,23.218,26.597,26.217,24.825,25.784,24.046,26.383,27.691,26.840,26.079,27.301,32.718,32.299
